NN;Nom;Prenom;Annee;Trimestre;BrutTrimestriel
80072964619;Garcia;Fatima;2025;4;2809.15
81070964163;Dufour;Fatima;2025;4;605.24
98051652719;Gaillard;Charlotte;2025;4;1647.66
78073161149;Simon;Maxime;2025;4;3879.73
1072835667;Garnier;Louis;2025;4;4704.11
93100353936;Henry;Thomas;2025;4;3704.54
81071155886;Fontaine;Charlotte;2025;4;6380.82
93021077717;Fabre;Adam;2025;4;1974.64
91000288197;Michel;Quentin;2025;4;1021.50
2061624963;Dumas;Leïla;2025;4;4528.66
89110259530;Lucas;Damien;2025;4;5959.13
93000304572;Lucas;Khalid;2025;4;1261.44
89020555019;Renaud;Sébastien;2025;4;3454.49
86093063543;Roy;Youssef;2025;4;6474.29
4090532589;Rey;Sébastien;2025;4;3671.48
67031571371;Philippe;Fatima;2025;4;3700.94
82032259897;Mercier;Sébastien;2025;4;4260.73
5073128139;Dubois;Adam;2025;4;770.88
6122527686;Fontaine;Laura;2025;4;4488.07
92092061405;Boyer;Thomas;2025;4;2897.60
94123158855;Benoit;Mehdi;2025;4;6532.00
85112352268;Marie;Vincent;2025;4;5307.40
97052087020;Brunet;Céline;2025;4;3245.99
94092870606;Gauthier;Quentin;2025;4;7695.10
93050259275;Lambert;Julien;2025;4;2442.88
91123177301;Colin;Youssef;2025;4;3990.99
94071053920;Barbier;Cédric;2025;4;1662.27
5041258392;Brunet;Manon;2025;4;4452.89
40463182;Schmitt;Inès;2025;4;2273.28
94011073573;Schmitt;Aïcha;2025;4;1381.09
88042453935;Colin;Adam;2025;4;891.26
84011088997;Meunier;Karim;2025;4;601.78
251536;Fontaine;Benjamin;2025;4;2976.77
94022054369;Brunet;Émilie;2025;4;9237.05
94021574121;Leclerc;Pauline;2025;4;1815.26
72082154406;Caron;Nicolas;2025;4;1252.43
50353917;Caron;Inès;2025;4;6707.84
87060179376;Martin;Hugo;2025;4;461.01
97080577108;Marchand;Céline;2025;4;4217.61
93110572390;Bourgeois;Khalid;2025;4;3201.86
5010550964;François;Bilal;2025;4;1973.28
81122650911;Boyer;Khalid;2025;4;1704.06
97042656145;Dumas;Leïla;2025;4;16356.11
87050169372;Garcia;Antoine;2025;4;2662.62
95062469243;Colin;Camille;2025;4;3689.32
72000210289;Laurent;Cédric;2025;4;5966.73
92072478786;Fabre;Samira;2025;4;3275.98
89111950201;Nguyen;Nicolas;2025;4;4368.57
88030377138;Michel;Sarah;2025;4;1028.13
74040181360;Renaud;Grégory;2025;4;301.17
90092869332;Dumas;Cédric;2025;4;5300.23
85102055719;Payet;Charlotte;2025;4;10829.94
94062369252;Barbier;Mehdi;2025;4;2083.17
91122372694;Muller;Damien;2025;4;5708.77
82031357797;Simon;Camille;2025;4;507.34
88012167862;Vincent;Leïla;2025;4;8325.36
85121671196;Guérin;Samira;2025;4;366.32
6093038302;Blanc;Leïla;2025;4;1083.77
91031746683;Perrin;Julien;2025;4;2513.75
5000081102;Dufour;Nora;2025;4;2221.98
91112570350;Gautier;Rachid;2025;4;10252.51
82031906739;Giraud;Sébastien;2025;4;2713.24
4000076131;Fontaine;Sarah;2025;4;2749.92
95121272425;Clément;Charlotte;2025;4;8976.51
90070759864;Simon;Nadia;2025;4;632.13
86071860432;Olivier;Khalid;2025;4;4105.53
88061361512;Noël;Camille;2025;4;3020.36
97000072254;Masson;Khalid;2025;4;11499.10
94000343393;Petit;Camille;2025;4;6030.80
3080231960;Rivière;Thomas;2025;4;3907.80
89061978274;Martin;Salima;2025;4;3887.62
86042743309;Marie;Thomas;2025;4;9178.81
98122375617;Roussel;Nadia;2025;4;3043.95
81122860648;Lefebvre;Anissa;2025;4;5582.83
87042878833;Robin;Youssef;2025;4;389.37
2080249953;Roche;Vincent;2025;4;475.57
98121472923;Bernard;Romain;2025;4;734.96
87000239514;Roger;Valérie;2025;4;1795.86
92082572924;Fabre;Sophie;2025;4;8486.24
