FA;NN;Nom;Prenom;Annee;Trimestre;BrutDMFA;NetReel;NetDeclare;EcartPct;ClasseAttendue
FA00762308;80072964619;Garcia;Fatima;2025;1;2657.75;1887.29;1887.29;0.0;Conforme
FA00676610;81070964163;Dufour;Fatima;2025;1;636.29;494.46;494.46;0.0;Conforme
FA00251472;78073161149;Simon;Maxime;2025;1;4008.68;2510.01;2510.01;0.0;Conforme
FA00768666;1072835667;Garnier;Louis;2025;1;1577.44;1028.89;1028.89;0.0;Conforme
FA00726297;93100353936;Henry;Thomas;2025;1;1262.59;862.13;862.13;0.0;Conforme
FA00763167;81071155886;Fontaine;Charlotte;2025;1;2085.09;1308.90;1308.90;0.0;Conforme
FA00691052;93021077717;Fabre;Adam;2025;1;1579.38;1174.60;763.49;35.0;EcartAControler
FA00670051;89110259530;Lucas;Damien;2025;1;3795.38;2427.90;2427.90;0.0;Conforme
FA00731082;93000304572;Lucas;Khalid;2025;1;1544.55;1090.22;1090.22;0.0;Conforme
FA00716645;5010457132;Garcia;Julien;2025;1;;6729.38;6729.38;0.0;DeclareSansBCSS
FA00744321;89020555019;Renaud;Sébastien;2025;1;1270.75;849.15;849.15;0.0;Conforme
FA00763335;86093063543;Roy;Youssef;2025;1;3222.67;1914.80;1914.80;0.0;Conforme
FA00726155;67031571371;Philippe;Fatima;2025;1;2118.47;1535.51;998.08;35.0;EcartAControler
FA00655824;6122527686;Fontaine;Laura;2025;1;4831.82;3218.13;3218.13;0.0;Conforme
FA00720497;94123158855;Benoit;Mehdi;2025;1;4351.28;2718.58;2718.58;0.0;Conforme
FA00727436;85112352268;Marie;Vincent;2025;1;5568.05;3528.69;3528.69;0.0;Conforme
FA00765426;97052087020;Brunet;Céline;2025;1;1072.48;759.99;759.99;0.0;Conforme
FA00759114;94092870606;Gauthier;Quentin;2025;1;4623.37;2901.82;2901.82;0.0;Conforme
FA00754816;93050259275;Lambert;Julien;2025;1;3303.24;2298.61;2298.61;0.0;Conforme
FA00749555;94071053920;Barbier;Cédric;2025;1;1597.48;1198.81;1198.81;0.0;Conforme
FA00764472;5041258392;Brunet;Manon;2025;1;3587.02;2496.65;1622.82;35.0;EcartAControler
FA00725936;40463182;Schmitt;Inès;2025;1;2070.03;1507.26;1507.26;0.0;Conforme
FA00767587;94011073573;Schmitt;Aïcha;2025;1;1257.29;947.38;947.38;0.0;Conforme
FA00756447;88042453935;Colin;Adam;2025;1;421.14;324.34;324.34;0.0;Conforme
FA00709286;72050569424;Chevalier;Amélie;2025;1;;2496.36;2496.36;0.0;DeclareSansBCSS
FA00744495;84011088997;Meunier;Karim;2025;1;197.03;150.64;150.64;0.0;Conforme
FA00726675;90092772134;Giraud;Mathieu;2025;1;;3525.40;3525.40;0.0;DeclareSansBCSS
FA00749305;96111156534;Payet;Émilie;2025;1;;696.63;696.63;0.0;DeclareSansBCSS
FA00765813;94021574121;Leclerc;Pauline;2025;1;1725.73;1264.37;1264.37;0.0;Conforme
FA00760668;72082154406;Caron;Nicolas;2025;1;453.97;334.70;334.70;0.0;Conforme
FA00770998;97080577108;Marchand;Céline;2025;1;3482.94;1999.42;1999.42;0.0;Conforme
FA00732933;93110572390;Bourgeois;Khalid;2025;1;2853.83;2013.17;2013.17;0.0;Conforme
FA00705715;5010550964;François;Bilal;2025;1;1972.89;1467.82;1467.82;0.0;Conforme
FA00633177;81122650911;Boyer;Khalid;2025;1;1182.73;870.66;870.66;0.0;Conforme
FA00757407;1022054088;Aubert;Anissa;2025;1;;30189.46;30189.46;0.0;DeclareSansBCSS
FA00751902;97042656145;Dumas;Leïla;2025;1;12741.53;7193.25;4675.62;35.0;EcartAControler
FA00741047;87050169372;Garcia;Antoine;2025;1;1188.38;884.46;574.90;35.0;EcartAControler
FA00760409;95062469243;Colin;Camille;2025;1;2565.95;1732.71;1126.26;35.0;EcartAControler
FA00714742;72000210289;Laurent;Cédric;2025;1;5607.14;3632.71;3632.71;0.0;Conforme
FA00668468;92072478786;Fabre;Samira;2025;1;3543.80;2398.41;2398.41;0.0;Conforme
FA00700994;89111950201;Nguyen;Nicolas;2025;1;4370.97;2884.04;2884.04;0.0;Conforme
FA00738610;74040181360;Renaud;Grégory;2025;1;857.89;651.33;651.33;0.0;Conforme
FA00719059;90092869332;Dumas;Cédric;2025;1;4246.05;2888.05;1877.23;35.0;EcartAControler
FA00674860;94062369252;Barbier;Mehdi;2025;1;2180.69;1571.47;1571.47;0.0;Conforme
FA00712049;95051081641;Petit;Mehdi;2025;1;;3709.36;3709.36;0.0;DeclareSansBCSS
FA00658383;91122372694;Muller;Damien;2025;1;1621.84;1087.84;1087.84;0.0;Conforme
FA00758989;88012167862;Vincent;Leïla;2025;1;5656.75;3380.68;3380.68;0.0;Conforme
FA00710172;85121671196;Guérin;Samira;2025;1;137.91;105.08;68.30;35.0;EcartAControler
FA00675327;6093038302;Blanc;Leïla;2025;1;1083.76;813.94;813.94;0.0;Conforme
FA00723476;91031746683;Perrin;Julien;2025;1;1462.10;1052.45;684.09;35.0;EcartAControler
